sample_fp	plate	well	tile	round
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-013__Channel_AF750,Cy3,DAPI.nd2	1	A3	13	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-013__Channel_Cy5,Cy3,DAPI.nd2	1	A3	13	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-014__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	14	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-014__Channel_AF750,Cy3,DAPI.nd2	1	A3	14	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-014__Channel_Cy5,Cy3,DAPI.nd2	1	A3	14	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-015__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	15	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-015__Channel_AF750,Cy3,DAPI.nd2	1	A3	15	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-015__Channel_Cy5,Cy3,DAPI.nd2	1	A3	15	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-016__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	16	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-016__Channel_AF750,Cy3,DAPI.nd2	1	A3	16	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-016__Channel_Cy5,Cy3,DAPI.nd2	1	A3	16	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-017__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	17	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-017__Channel_AF750,Cy3,DAPI.nd2	1	A3	17	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-017__Channel_Cy5,Cy3,DAPI.nd2	1	A3	17	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-018__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	18	1
