sample_fp	plate	well	tile	round
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2090__Channel_AF750,Cy3,DAPI.nd2	1	A3	2090	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2090__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2090	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2091__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2091	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2091__Channel_AF750,Cy3,DAPI.nd2	1	A3	2091	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2091__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2091	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2092__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2092	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2092__Channel_AF750,Cy3,DAPI.nd2	1	A3	2092	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2092__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2092	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2093__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2093	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2093__Channel_AF750,Cy3,DAPI.nd2	1	A3	2093	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2093__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2093	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2094__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2094	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2094__Channel_AF750,Cy3,DAPI.nd2	1	A3	2094	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2094__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2094	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2095__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2095	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2095__Channel_AF750,Cy3,DAPI.nd2	1	A3	2095	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2095__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2095	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2096__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2096	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2096__Channel_AF750,Cy3,DAPI.nd2	1	A3	2096	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2096__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2096	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2097__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2097	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2097__Channel_AF750,Cy3,DAPI.nd2	1	A3	2097	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2097__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2097	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2098__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2098	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2098__Channel_AF750,Cy3,DAPI.nd2	1	A3	2098	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2098__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2098	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2099__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2099	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2099__Channel_AF750,Cy3,DAPI.nd2	1	A3	2099	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2099__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2099	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2100__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2100	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2100__Channel_AF750,Cy3,DAPI.nd2	1	A3	2100	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2100__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2100	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2101__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2101	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2101__Channel_AF750,Cy3,DAPI.nd2	1	A3	2101	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2101__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2101	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2102__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2102	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2102__Channel_AF750,Cy3,DAPI.nd2	1	A3	2102	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2102__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2102	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2103__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2103	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2103__Channel_AF750,Cy3,DAPI.nd2	1	A3	2103	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2103__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2103	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2104__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2104	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2104__Channel_AF750,Cy3,DAPI.nd2	1	A3	2104	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2104__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2104	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2105__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2105	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2105__Channel_AF750,Cy3,DAPI.nd2	1	A3	2105	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2105__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2105	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2106__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2106	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2106__Channel_AF750,Cy3,DAPI.nd2	1	A3	2106	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2106__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2106	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2107__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2107	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2107__Channel_AF750,Cy3,DAPI.nd2	1	A3	2107	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2107__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2107	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2108__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2108	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2108__Channel_AF750,Cy3,DAPI.nd2	1	A3	2108	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2108__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2108	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2109__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2109	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2109__Channel_AF750,Cy3,DAPI.nd2	1	A3	2109	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2109__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2109	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2110__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2110	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2110__Channel_AF750,Cy3,DAPI.nd2	1	A3	2110	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2110__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2110	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2111__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2111	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2111__Channel_AF750,Cy3,DAPI.nd2	1	A3	2111	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2111__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2111	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2112__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2112	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2112__Channel_AF750,Cy3,DAPI.nd2	1	A3	2112	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2112__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2112	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2113__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2113	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2113__Channel_AF750,Cy3,DAPI.nd2	1	A3	2113	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2113__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2113	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2114__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2114	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2114__Channel_AF750,Cy3,DAPI.nd2	1	A3	2114	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2114__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2114	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2115__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2115	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2115__Channel_AF750,Cy3,DAPI.nd2	1	A3	2115	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2115__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2115	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2116__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2116	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2116__Channel_AF750,Cy3,DAPI.nd2	1	A3	2116	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2116__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2116	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2117__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2117	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2117__Channel_AF750,Cy3,DAPI.nd2	1	A3	2117	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2117__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2117	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2118__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2118	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2118__Channel_AF750,Cy3,DAPI.nd2	1	A3	2118	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2118__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2118	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2119__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2119	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2119__Channel_AF750,Cy3,DAPI.nd2	1	A3	2119	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2119__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2119	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2120__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2120	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2120__Channel_AF750,Cy3,DAPI.nd2	1	A3	2120	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2120__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2120	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2121__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2121	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2121__Channel_AF750,Cy3,DAPI.nd2	1	A3	2121	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2121__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2121	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2122__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2122	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2122__Channel_AF750,Cy3,DAPI.nd2	1	A3	2122	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2122__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2122	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2123__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2123	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2123__Channel_AF750,Cy3,DAPI.nd2	1	A3	2123	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2123__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2123	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2124__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2124	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2124__Channel_AF750,Cy3,DAPI.nd2	1	A3	2124	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2124__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2124	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2125__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2125	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2125__Channel_AF750,Cy3,DAPI.nd2	1	A3	2125	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2125__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2125	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2126__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2126	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2126__Channel_AF750,Cy3,DAPI.nd2	1	A3	2126	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2126__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2126	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2127__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2127	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2127__Channel_AF750,Cy3,DAPI.nd2	1	A3	2127	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2127__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2127	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2128__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2128	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2128__Channel_AF750,Cy3,DAPI.nd2	1	A3	2128	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2128__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2128	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2129__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2129	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2129__Channel_AF750,Cy3,DAPI.nd2	1	A3	2129	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2129__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2129	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2130__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2130	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2130__Channel_AF750,Cy3,DAPI.nd2	1	A3	2130	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2130__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2130	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2131__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2131	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2131__Channel_AF750,Cy3,DAPI.nd2	1	A3	2131	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2131__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2131	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2132__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2132	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2132__Channel_AF750,Cy3,DAPI.nd2	1	A3	2132	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2132__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2132	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2133__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2133	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2133__Channel_AF750,Cy3,DAPI.nd2	1	A3	2133	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2133__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2133	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2134__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2134	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2134__Channel_AF750,Cy3,DAPI.nd2	1	A3	2134	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2134__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2134	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2135__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2135	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2135__Channel_AF750,Cy3,DAPI.nd2	1	A3	2135	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2135__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2135	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2136__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2136	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2136__Channel_AF750,Cy3,DAPI.nd2	1	A3	2136	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2136__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2136	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2137__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2137	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2137__Channel_AF750,Cy3,DAPI.nd2	1	A3	2137	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2137__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2137	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2138__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2138	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2138__Channel_AF750,Cy3,DAPI.nd2	1	A3	2138	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2138__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2138	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2139__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2139	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2139__Channel_AF750,Cy3,DAPI.nd2	1	A3	2139	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2139__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2139	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2140__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2140	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2140__Channel_AF750,Cy3,DAPI.nd2	1	A3	2140	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2140__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2140	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2141__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2141	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2141__Channel_AF750,Cy3,DAPI.nd2	1	A3	2141	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2141__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2141	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2142__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2142	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2142__Channel_AF750,Cy3,DAPI.nd2	1	A3	2142	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2142__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2142	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2143__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2143	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2143__Channel_AF750,Cy3,DAPI.nd2	1	A3	2143	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2143__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2143	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2144__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2144	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2144__Channel_AF750,Cy3,DAPI.nd2	1	A3	2144	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2144__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2144	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2145__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2145	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2145__Channel_AF750,Cy3,DAPI.nd2	1	A3	2145	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2145__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2145	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2146__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2146	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-2146__Channel_AF750,Cy3,DAPI.nd2	1	A3	2146	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-2146__Channel_Cy5,Cy3,DAPI.nd2	1	A3	2146	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-2147__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	2147	1
